data_id,problem_id,assign,keyword_content,sim_content,problem,user_answer,reference,score
4,mstr_nw_1,jack,"저장위치 - 2점, 보안 - 1점, Lifecycle - 1점, 속도 - 1점","저장위치가 쿠키는 클라이언트측이고, 세션은 웹서버라는 내용 - 2점, 세션이 쿠키보다 속도가 느리다는 내용 - 1점, 세션이 쿠키보다 보안에 유리하다는 내용 - 1점, Lifecycle에 대한 내용 - 1점",[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,쿠키는 클라이언트 로컬에 저장되기 때문에 변질되거나 request에서 스니핑 당할 우려가 있어서 보안에 취약하지만 세션은 쿠키를 이용해서 sessionid만 저장하고 그것으로 구분해서 서버에서 처리하기 때문에 보안성이 좋습니다. , https://interconnection.tistory.com/74,
5,mstr_nw_1,jack,"저장위치 - 2점, 보안 - 1점, Lifecycle - 1점, 속도 - 1점","저장위치가 쿠키는 클라이언트측이고, 세션은 웹서버라는 내용 - 2점, 세션이 쿠키보다 속도가 느리다는 내용 - 1점, 세션이 쿠키보다 보안에 유리하다는 내용 - 1점, Lifecycle에 대한 내용 - 1점",[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,"쿠키도 만료시간이 있지만 파일로 저장되기 때문에 브라우저를 종료해도 계속해서 정보가 남아 있을 수 있습니다. 또한 만료기간을 넉넉하게 잡아두면 쿠키삭제를 할 때 까지 유지될 수도 있습니다. 반면에 세션도 만료시간을 정할 수 있지만 브라우저가 종료되면 만료시간에 상관없이 삭제됩니다. 예를 들어, 크롬에서 다른 탭을 사용해도 세션을 공유됩니다. 다른 브라우저를 사용하게 되면 다른 세션을 사용할 수 있습니다. ",https://interconnection.tistory.com/74,
6,mstr_nw_1,jack,"저장위치 - 2점, 보안 - 1점, Lifecycle - 1점, 속도 - 1점","저장위치가 쿠키는 클라이언트측이고, 세션은 웹서버라는 내용 - 2점, 세션이 쿠키보다 속도가 느리다는 내용 - 1점, 세션이 쿠키보다 보안에 유리하다는 내용 - 1점, Lifecycle에 대한 내용 - 1점",[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,"쿠키에 정보가 있기 때문에 서버에 요청시 속도가 빠르고 세션은 정보가 서버에 있기 때문에 처리가 요구되어 비교적 느린 속도를 가집니다. 
",https://interconnection.tistory.com/74,
7,mstr_nw_1,jack,"저장위치 - 2점, 보안 - 1점, Lifecycle - 1점, 속도 - 1점","저장위치가 쿠키는 클라이언트측이고, 세션은 웹서버라는 내용 - 2점, 세션이 쿠키보다 속도가 느리다는 내용 - 1점, 세션이 쿠키보다 보안에 유리하다는 내용 - 1점, Lifecycle에 대한 내용 - 1점",[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,쿠키는 클라이언트의 웹 브라우저가 지정하는 메모리 또는 하드디스크에 저장하고 세션은 서버의 메모리에 저장합니다. 저장할 때 쿠키는 text형식으로 저장하고 세션은 Object 형식으로 저장합니다. ,https://devuna.tistory.com/23,
8,mstr_nw_1,jack,"저장위치 - 2점, 보안 - 1점, Lifecycle - 1점, 속도 - 1점","저장위치가 쿠키는 클라이언트측이고, 세션은 웹서버라는 내용 - 2점, 세션이 쿠키보다 속도가 느리다는 내용 - 1점, 세션이 쿠키보다 보안에 유리하다는 내용 - 1점, Lifecycle에 대한 내용 - 1점",[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,쿠키는 클라이언트에 저장되고 클라이언트의 메모리를 사용하기 때문에 서버의 자원을 사용하지 않는다. 하지만 세션은 서버에 저장되고 서버의 메모리로 로딩이 되기 때문에 세션이 생길때마다 서버의 리소스를 차지한다. ,https://devuna.tistory.com/23,
9,mstr_nw_1,jack,"저장위치 - 2점, 보안 - 1점, Lifecycle - 1점, 속도 - 1점","저장위치가 쿠키는 클라이언트측이고, 세션은 웹서버라는 내용 - 2점, 세션이 쿠키보다 속도가 느리다는 내용 - 1점, 세션이 쿠키보다 보안에 유리하다는 내용 - 1점, Lifecycle에 대한 내용 - 1점",[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,"쿠키는 저장할 때 expires 속성을 정의해 무효화 시키면 삭제될 날짜를 지정할 수 있다. (따로 지정되지 않은 경우에는 브라우저 종료시 만료) 반면에 세션은 클라이언트가 로그아웃하거나, 설정한 시간동안 반응이 없을경우 무효화 되기 때문에 정확한 시점을 알 수 없다. ",https://devuna.tistory.com/23,
10,mstr_nw_1,jack,"저장위치 - 2점, 보안 - 1점, Lifecycle - 1점, 속도 - 1점","저장위치가 쿠키는 클라이언트측이고, 세션은 웹서버라는 내용 - 2점, 세션이 쿠키보다 속도가 느리다는 내용 - 1점, 세션이 쿠키보다 보안에 유리하다는 내용 - 1점, Lifecycle에 대한 내용 - 1점",[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,"쿠키는 자동완성이나, 팝업 일주일간 보지 않기 등 사용자의 편의를 위하는 것이지만  지워져도 되고, 조작되거나 가로채이더라도 큰 지장이 없는 수준의 정보들을 저장하는데 사용됩니다. 그리고 사용자나 다른 누군가에게 노출되면 안되는 중요한 정보들은 세션으로 서버안에서 다뤄집니다. 쿠키로 노출시켜서는 안될 정보들이 있고, 세션을 남발하면 서버에 부담이 되어 과부하가 일어나기 때문에 웹을 설계할 때는 이 정보는 쿠키에 저장할 지 세션에 저장할 지 적절한 판단을 내릴 수 있어야 합니다.",https://devuna.tistory.com/23,
11,mstr_nw_1,jack,"저장위치 - 2점, 보안 - 1점, Lifecycle - 1점, 속도 - 1점","저장위치가 쿠키는 클라이언트측이고, 세션은 웹서버라는 내용 - 2점, 세션이 쿠키보다 속도가 느리다는 내용 - 1점, 세션이 쿠키보다 보안에 유리하다는 내용 - 1점, Lifecycle에 대한 내용 - 1점",[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,쿠키는 클라이언트 로컬에 저장되는 Key-Value쌍의 작은 데이터 파일입니다. 그리고 세션은 브라우저가 종료되기 전까지 클라이언트의 요청을 유지하게 해주는 기술입니다.,https://chrisjune-13837.medium.com/web-%EC%BF%A0%ED%82%A4-%EC%84%B8%EC%85%98%EC%9D%B4%EB%9E%80-aa6bcb327582,
12,mstr_nw_1,jack,"저장위치 - 2점, 보안 - 1점, Lifecycle - 1점, 속도 - 1점","저장위치가 쿠키는 클라이언트측이고, 세션은 웹서버라는 내용 - 2점, 세션이 쿠키보다 속도가 느리다는 내용 - 1점, 세션이 쿠키보다 보안에 유리하다는 내용 - 1점, Lifecycle에 대한 내용 - 1점",[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,"쿠키와 세션의 차이점은 저장위치, 보안, Lifecycle, 속도 총 4가지 입니다. 쿠키는 로컬에, 세션은 로컬과 서버에 저장됩니다. 쿠키는 탈취와 변조가 가능하지만, 세션은 ID값만 가지고 있고 서버에도 저장이 되어있기 때문에 상대적으로 안전합니다. 쿠키는 브라우저를 종료해도 파일로 남아있지만, 세션은 브라우저 종료시 세션을 삭제합니다. 쿠키는 파일에서 읽기 때문에 상대적으로 빠르고, 세션은 요청마다 서버에서 처리를 해야하기 때문에 비교적 느립니다. ",https://chrisjune-13837.medium.com/web-%EC%BF%A0%ED%82%A4-%EC%84%B8%EC%85%98%EC%9D%B4%EB%9E%80-aa6bcb327582,
13,mstr_nw_1,jack,"저장위치 - 2점, 보안 - 1점, Lifecycle - 1점, 속도 - 1점","저장위치가 쿠키는 클라이언트측이고, 세션은 웹서버라는 내용 - 2점, 세션이 쿠키보다 속도가 느리다는 내용 - 1점, 세션이 쿠키보다 보안에 유리하다는 내용 - 1점, Lifecycle에 대한 내용 - 1점",[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,"쿠키는 클라이언트, 세션 정보는 서버 측에 저장됩니다.",https://junhyunny.github.io/information/cookie-and-session/,
